Date,LogPNL,NAV,Drawdown,ExpCut
2011-04-21,0.003868676982166086,155310.00538345115,0.0,1.0
2011-04-25,0.009042163558093286,156720.71216336763,0.0,1.0
2011-04-26,-0.0026789419583472807,156301.42834108032,-0.002675356795534767,1.0
2011-04-27,0.0040250180202860975,156931.81220890503,0.0,1.0
2011-04-28,0.003243730496388153,157441.68320901386,0.0,1.0
2011-04-29,-0.0043919337737072794,156751.72599538643,-0.004382303336477156,1.0
2011-05-02,-0.003939419575040404,156135.4298990579,-0.008296743805907059,1.0
2011-05-03,-0.009316967596688208,154687.47689781213,-0.017493501435355885,1.0
2011-05-04,-0.004102760646958359,154054.13132606883,-0.021516232638645216,1.0
2011-05-05,-0.004639043397985709,153341.1226430249,-0.02604494872266583,1.0
2011-05-06,0.0024509363374143334,153717.41291591479,-0.02365491918779139,1.0
2011-05-09,0.00935726617755872,155162.5383318893,-0.014476121130506892,1.0
2011-05-10,0.009506181025355609,156644.57460151872,-0.005062881641305417,1.0
2011-05-11,-0.007215515657690297,155518.3711761995,-0.012216028142058466,1.0
2011-05-12,0.006107624302268633,156471.12553054845,-0.006164553494876768,1.0
2011-05-13,-0.005116708781458534,155672.55312199454,-0.01123673255366997,1.0
2011-05-16,-0.008472913366829538,154359.12520388223,-0.019579046300205905,1.0
2011-05-17,0.00764832523668435,155544.24029238932,-0.01205171894729784,1.0
2011-05-18,0.012208363626349694,157454.8197321346,0.0,1.0
2011-05-19,0.012322994182557778,159407.1390636739,0.0,1.0
2011-05-20,0.002094923230088419,159741.4348220549,0.0,1.0
2011-05-23,-0.006537268034681354,158700.5681653995,-0.006515946584647048,1.0
2011-05-24,0.004846909483442019,159471.64260874366,-0.0016889306998636444,1.0
2011-05-25,0.005623211013218388,160370.91132502232,0.0,1.0
2011-05-26,0.005026470815248096,161179.04034741016,0.0,1.0
2011-05-27,0.0012717159429840308,161384.14469228522,0.0,1.0
2011-05-31,0.006443121909550875,162427.31945303956,0.0,1.0
2011-06-01,-0.020233952406118583,159173.79958681003,-0.02003061970846709,1.0
2011-06-02,0.00347562498771925,159727.99054412977,-0.016618687779860863,1.0
2011-06-03,0.00022729202188020992,159764.29956827083,-0.01639514764964556,1.0
2011-06-06,-0.0008764838840669142,159624.3300839093,-0.017256883746952778,1.0
2011-06-07,0.0033789373026396063,160164.6029472702,-0.013930639952619117,1.0
2011-06-08,-0.004630249993819113,159424.7150503129,-0.018485833619847236,1.0
2011-06-09,0.006815347887364709,160514.96092763016,-0.011773626086110989,1.0
2011-06-10,-0.008892262305260523,159093.94716824687,-0.020522239091413597,1.0
2011-06-13,-0.00840363137237432,157762.58226777817,-0.028718919951209565,1.0
2011-06-14,0.0065327784022057855,158796.58403273713,-0.022352984907518247,1.0
2011-06-15,-0.02364776020784909,155085.45339758345,-0.04520093097749334,1.0
2011-06-16,-0.007973728237518962,153853.761253756,-0.05278396656519535,1.0
2011-06-17,0.006681473920330028,154885.1729853819,-0.046433977320165076,1.0
2011-06-20,0.014029672183047737,157073.4758806798,-0.03296147218576517,1.0
2011-06-21,0.006773271038329476,158140.988300025,-0.026389225454488963,1.0
2011-06-22,-0.0023558668062140242,157768.86770038054,-0.02868022305820206,1.0
2011-06-23,0.009819909458003373,159325.77553234974,-0.019094964634853384,1.0
2011-06-24,-0.017117287360199462,156621.7591841923,-0.03574251110217774,1.0
